month_start,team_id,region_id,cost_category,budget_amount,actual_amount
2024-01-01,1,1,salary,125025.87,119884.23
2024-01-01,1,1,contractors,25483.35,26081.67
2024-01-01,1,1,software,14994.51,15364.69
2024-01-01,1,1,training,6765.53,6168.69
2024-01-01,1,1,travel,5245.41,4993.86
2024-01-01,1,2,salary,215753.44,226377.7
2024-01-01,1,2,contractors,47441.71,49418.04
2024-01-01,1,2,software,23713.66,24553.41
2024-01-01,1,2,training,12058.68,12110.4
2024-01-01,1,2,travel,8614.96,8735.25
2024-01-01,1,3,salary,169869.28,176713.13
2024-01-01,1,3,contractors,35231.55,35642.51
2024-01-01,1,3,software,20159.93,22155.43
2024-01-01,1,3,training,9510.45,9727.2
2024-01-01,1,3,travel,7208.18,7755.58
2024-01-01,1,4,salary,115806.42,117806.06
2024-01-01,1,4,contractors,25564.35,24108.41
2024-01-01,1,4,software,13033.99,14190.91
2024-01-01,1,4,training,6641.29,6929.16
2024-01-01,1,4,travel,5030.97,5121.2
2024-01-01,2,1,salary,115421.72,120073.24
2024-01-01,2,1,contractors,23872.02,25722.56
2024-01-01,2,1,software,12873.71,12522.81
2024-01-01,2,1,training,6752.66,6848.14
2024-01-01,2,1,travel,4977.61,4836.73
2024-01-01,2,2,salary,170217.0,159490.44
2024-01-01,2,2,contractors,32708.22,35618.22
2024-01-01,2,2,software,18654.48,18732.7
2024-01-01,2,2,training,9604.35,10218.07
2024-01-01,2,2,travel,6745.38,6865.95
2024-01-01,2,3,salary,150897.51,157255.31
2024-01-01,2,3,contractors,31639.37,29437.24
2024-01-01,2,3,software,17127.14,16085.58
2024-01-01,2,3,training,8317.68,8826.38
2024-01-01,2,3,travel,6332.9,6205.35
2024-01-01,2,4,salary,95132.68,106485.11
2024-01-01,2,4,contractors,21511.25,22785.67
2024-01-01,2,4,software,10743.02,10671.35
2024-01-01,2,4,training,5664.96,5756.75
2024-01-01,2,4,travel,4259.06,4045.18
2024-01-01,3,1,salary,84193.38,84505.4
2024-01-01,3,1,contractors,19300.73,20336.88
2024-01-01,3,1,software,9891.05,10411.57
2024-01-01,3,1,training,4952.52,5002.8
2024-01-01,3,1,travel,3702.0,3545.36
2024-01-01,3,2,salary,144396.34,142540.44
2024-01-01,3,2,contractors,30089.13,29889.99
2024-01-01,3,2,software,16376.07,16270.99
2024-01-01,3,2,training,8066.52,7893.04
2024-01-01,3,2,travel,6045.84,6115.34
2024-01-01,3,3,salary,135326.49,138947.1
2024-01-01,3,3,contractors,29966.67,28552.95
2024-01-01,3,3,software,15633.24,15343.32
2024-01-01,3,3,training,8063.56,7910.65
2024-01-01,3,3,travel,5489.28,5561.22
2024-01-01,3,4,salary,98680.56,98573.71
2024-01-01,3,4,contractors,20895.53,21245.05
2024-01-01,3,4,software,10602.41,10046.81
2024-01-01,3,4,training,5318.02,5779.63
2024-01-01,3,4,travel,4049.13,3661.9
2024-01-01,4,1,salary,90630.17,82012.41
2024-01-01,4,1,contractors,18464.64,18003.78
2024-01-01,4,1,software,9850.73,9940.51
2024-01-01,4,1,training,5194.58,5317.33
2024-01-01,4,1,travel,3527.29,3321.91
2024-01-01,4,2,salary,133034.55,145497.61
2024-01-01,4,2,contractors,27639.06,26794.61
2024-01-01,4,2,software,14994.17,16071.48
2024-01-01,4,2,training,7797.99,7938.81
2024-01-01,4,2,travel,5371.15,5634.82
2024-01-01,4,3,salary,116257.25,120618.86
2024-01-01,4,3,contractors,25006.42,25132.44
2024-01-01,4,3,software,13594.82,14028.14
2024-01-01,4,3,training,6948.13,7604.01
2024-01-01,4,3,travel,5023.12,5680.74
2024-01-01,4,4,salary,81518.46,86002.52
2024-01-01,4,4,contractors,18688.67,18953.11
2024-01-01,4,4,software,9392.3,8853.62
2024-01-01,4,4,training,4841.55,4973.66
2024-01-01,4,4,travel,3655.06,3861.22
2024-01-01,5,1,salary,52176.02,55917.7
2024-01-01,5,1,contractors,11744.35,12240.63
2024-01-01,5,1,software,5572.82,6040.24
2024-01-01,5,1,training,3213.22,3315.37
2024-01-01,5,1,travel,2320.95,2323.14
2024-01-01,5,2,salary,85543.26,70935.65
2024-01-01,5,2,contractors,16827.0,17664.17
2024-01-01,5,2,software,9523.85,9937.08
2024-01-01,5,2,training,4699.87,4371.61
2024-01-01,5,2,travel,3600.28,3389.53
2024-01-01,5,3,salary,83033.43,81852.95
2024-01-01,5,3,contractors,17345.57,17454.95
2024-01-01,5,3,software,9843.94,10162.84
2024-01-01,5,3,training,4752.72,4722.29
2024-01-01,5,3,travel,3536.09,3822.65
2024-01-01,5,4,salary,55263.94,58274.21
2024-01-01,5,4,contractors,11509.69,12208.79
2024-01-01,5,4,software,5976.42,6303.95
2024-01-01,5,4,training,3136.97,3164.2
2024-01-01,5,4,travel,2288.84,2263.94
2024-02-01,1,1,salary,128170.94,127093.4
2024-02-01,1,1,contractors,29590.86,29470.56
2024-02-01,1,1,software,15334.19,14845.19
2024-02-01,1,1,training,7872.57,7993.27
2024-02-01,1,1,travel,5610.56,5620.36
2024-02-01,1,2,salary,195916.92,173906.84
2024-02-01,1,2,contractors,38896.85,40934.92
2024-02-01,1,2,software,21497.67,22287.84
2024-02-01,1,2,training,10317.02,10042.47
2024-02-01,1,2,travel,8154.09,8090.69
2024-02-01,1,3,salary,166877.44,182746.4
2024-02-01,1,3,contractors,36281.21,37150.63
2024-02-01,1,3,software,17940.7,17334.03
2024-02-01,1,3,training,9491.86,9916.05
2024-02-01,1,3,travel,7317.98,7420.6
2024-02-01,1,4,salary,115650.62,128967.75
2024-02-01,1,4,contractors,25113.29,24952.57
2024-02-01,1,4,software,13226.86,13338.13
2024-02-01,1,4,training,6442.39,6317.4
2024-02-01,1,4,travel,4807.57,4582.96
2024-02-01,2,1,salary,103366.77,102534.29
2024-02-01,2,1,contractors,21097.74,20580.69
2024-02-01,2,1,software,12461.42,13075.65
2024-02-01,2,1,training,5517.59,5515.94
2024-02-01,2,1,travel,4308.13,4371.99
2024-02-01,2,2,salary,152895.52,156103.91
2024-02-01,2,2,contractors,34399.87,33871.57
2024-02-01,2,2,software,17413.17,18612.61
2024-02-01,2,2,training,9020.91,9198.48
2024-02-01,2,2,travel,7072.45,7635.27
2024-02-01,2,3,salary,141887.21,138168.35
2024-02-01,2,3,contractors,30505.88,30984.38
2024-02-01,2,3,software,16404.35,16248.31
2024-02-01,2,3,training,8217.79,8370.88
2024-02-01,2,3,travel,6078.36,6013.28
2024-02-01,2,4,salary,85699.57,86465.5
2024-02-01,2,4,contractors,19967.94,21264.36
2024-02-01,2,4,software,9495.2,9836.34
2024-02-01,2,4,training,4971.56,4718.49
2024-02-01,2,4,travel,4021.83,3974.49
2024-02-01,3,1,salary,92964.38,94408.0
2024-02-01,3,1,contractors,19760.15,21729.67
2024-02-01,3,1,software,10396.84,10561.54
2024-02-01,3,1,training,5175.31,5602.1
2024-02-01,3,1,travel,3888.39,4065.87
2024-02-01,3,2,salary,154723.79,166124.91
2024-02-01,3,2,contractors,33017.64,33297.06
2024-02-01,3,2,software,17471.45,17590.26
2024-02-01,3,2,training,8867.44,8597.96
2024-02-01,3,2,travel,6247.54,6391.3
2024-02-01,3,3,salary,136017.53,141516.33
2024-02-01,3,3,contractors,27288.04,27610.28
2024-02-01,3,3,software,15354.45,15460.7
2024-02-01,3,3,training,7467.81,7917.74
2024-02-01,3,3,travel,5698.42,5347.91
2024-02-01,3,4,salary,100568.05,101288.83
2024-02-01,3,4,contractors,20706.1,21910.64
2024-02-01,3,4,software,10781.11,10522.17
2024-02-01,3,4,training,5554.36,5636.3
2024-02-01,3,4,travel,4028.07,3949.47
2024-02-01,4,1,salary,81560.36,77353.3
2024-02-01,4,1,contractors,15903.34,15640.88
2024-02-01,4,1,software,9052.73,9263.99
2024-02-01,4,1,training,4483.95,4158.79
2024-02-01,4,1,travel,3609.22,3706.28
2024-02-01,4,2,salary,119507.14,122421.45
2024-02-01,4,2,contractors,25837.17,27385.36
2024-02-01,4,2,software,13720.85,14678.75
2024-02-01,4,2,training,6696.44,6772.47
2024-02-01,4,2,travel,5294.76,5594.59
2024-02-01,4,3,salary,116649.97,112322.57
2024-02-01,4,3,contractors,24120.26,24710.46
2024-02-01,4,3,software,13546.17,12661.75
2024-02-01,4,3,training,6528.04,6352.58
2024-02-01,4,3,travel,5116.12,5632.23
2024-02-01,4,4,salary,73283.04,80812.43
2024-02-01,4,4,contractors,16372.93,16448.45
2024-02-01,4,4,software,8865.85,8242.02
2024-02-01,4,4,training,4293.07,4045.83
2024-02-01,4,4,travel,3178.98,3198.51
2024-02-01,5,1,salary,59450.72,57558.78
2024-02-01,5,1,contractors,12848.2,13112.91
2024-02-01,5,1,software,7298.0,7426.43
2024-02-01,5,1,training,3561.04,3352.62
2024-02-01,5,1,travel,2558.07,2636.6
2024-02-01,5,2,salary,79027.9,85337.83
2024-02-01,5,2,contractors,17374.4,19455.92
2024-02-01,5,2,software,9902.95,9928.85
2024-02-01,5,2,training,4847.84,4736.67
2024-02-01,5,2,travel,3776.8,3920.28
2024-02-01,5,3,salary,80118.68,77336.81
2024-02-01,5,3,contractors,17355.0,17750.5
2024-02-01,5,3,software,8913.41,8468.25
2024-02-01,5,3,training,4727.88,4304.8
2024-02-01,5,3,travel,3219.78,3045.67
2024-02-01,5,4,salary,52622.24,48926.17
2024-02-01,5,4,contractors,11506.09,11285.14
2024-02-01,5,4,software,5749.88,5567.98
2024-02-01,5,4,training,3010.84,3137.37
2024-02-01,5,4,travel,2157.76,2199.18
2024-03-01,1,1,salary,117907.87,111185.43
2024-03-01,1,1,contractors,24266.76,25766.87
2024-03-01,1,1,software,12983.1,13050.81
2024-03-01,1,1,training,6573.41,6783.01
2024-03-01,1,1,travel,4857.96,5173.04
2024-03-01,1,2,salary,191749.31,176272.18
2024-03-01,1,2,contractors,40561.01,41487.88
2024-03-01,1,2,software,22282.73,21644.9
2024-03-01,1,2,training,10818.3,10536.27
2024-03-01,1,2,travel,7888.05,8785.35
2024-03-01,1,3,salary,152425.79,145239.4
2024-03-01,1,3,contractors,31805.15,30761.41
2024-03-01,1,3,software,17346.06,17928.86
2024-03-01,1,3,training,8605.24,8534.55
2024-03-01,1,3,travel,6307.07,6111.88
2024-03-01,1,4,salary,112756.5,107592.3
2024-03-01,1,4,contractors,24010.51,24175.33
2024-03-01,1,4,software,12180.21,11966.78
2024-03-01,1,4,training,6442.08,6804.73
2024-03-01,1,4,travel,4647.25,4818.93
2024-03-01,2,1,salary,101966.52,108737.54
2024-03-01,2,1,contractors,20503.62,19511.31
2024-03-01,2,1,software,11510.6,11996.47
2024-03-01,2,1,training,5906.5,5783.2
2024-03-01,2,1,travel,4425.48,4286.08
2024-03-01,2,2,salary,172725.79,170256.8
2024-03-01,2,2,contractors,36847.31,38444.65
2024-03-01,2,2,software,19419.69,18777.76
2024-03-01,2,2,training,9622.47,10650.58
2024-03-01,2,2,travel,7347.33,7690.13
2024-03-01,2,3,salary,156022.63,155949.29
2024-03-01,2,3,contractors,31613.84,28393.02
2024-03-01,2,3,software,16960.7,17250.47
2024-03-01,2,3,training,8538.15,8105.76
2024-03-01,2,3,travel,6284.9,5815.15
2024-03-01,2,4,salary,95536.68,95069.1
2024-03-01,2,4,contractors,19793.36,21644.5
2024-03-01,2,4,software,10625.07,10159.99
2024-03-01,2,4,training,5738.56,5751.5
2024-03-01,2,4,travel,4388.31,4571.08
2024-03-01,3,1,salary,88972.58,94069.91
2024-03-01,3,1,contractors,19355.85,19268.13
2024-03-01,3,1,software,10782.93,11188.57
2024-03-01,3,1,training,5435.82,5288.2
2024-03-01,3,1,travel,3927.35,3681.95
2024-03-01,3,2,salary,144858.22,152142.24
2024-03-01,3,2,contractors,34569.34,34897.53
2024-03-01,3,2,software,16556.68,18206.3
2024-03-01,3,2,training,8658.17,9215.98
2024-03-01,3,2,travel,6728.1,7507.32
2024-03-01,3,3,salary,133703.48,138174.13
2024-03-01,3,3,contractors,28361.7,28821.06
2024-03-01,3,3,software,14943.59,14256.85
2024-03-01,3,3,training,7386.15,7048.42
2024-03-01,3,3,travel,5317.55,4983.02
2024-03-01,3,4,salary,94539.46,103360.47
2024-03-01,3,4,contractors,18107.85,18220.56
2024-03-01,3,4,software,10192.01,9647.41
2024-03-01,3,4,training,5111.7,5620.38
2024-03-01,3,4,travel,3930.57,4101.53
2024-03-01,4,1,salary,84533.03,87416.52
2024-03-01,4,1,contractors,17903.91,16074.19
2024-03-01,4,1,software,9096.62,9128.44
2024-03-01,4,1,training,4741.81,4372.42
2024-03-01,4,1,travel,3671.46,3769.7
